Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,BER,Iteration,LL,Theta
1.0,33.0,34.0,35.0,32.0,36.0,35.0,0.0,0,0.0,0.0408163265306
0.999421091423,22.0,31.0,27.0,24.0,27.0,32.0,0.666131888074,1,-71.2096441437,0.0393521375685
0.999421091423,23.0,31.0,29.0,25.0,33.0,35.0,0.666523409231,2,-65.58263667,0.0393521375685
0.999421091423,23.0,27.0,29.0,30.0,30.0,33.0,0.667117121572,3,-64.1185927958,0.0393521375685
0.999421091423,23.0,26.0,29.0,30.0,30.0,31.0,0.668979031566,4,-64.0493754295,0.0393521375685
0.999421091423,24.0,26.0,29.0,30.0,30.0,31.0,0.672229569226,5,-64.0054670204,0.0393521375685
