Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,BER,Iteration,LL,Theta
1.0,73.0,78.0,81.0,79.0,83.0,75.0,0.0,0,0.0,0.0188679245283
0.996993307015,56.0,73.0,72.0,65.0,82.0,85.0,0.649578358381,1,-445.592225075,0.0186553580532
0.996993307015,62.0,74.0,77.0,62.0,89.0,85.0,0.65776171981,2,-406.108085371,0.0186553580532
0.996993307015,60.0,74.0,77.0,63.0,89.0,79.0,0.660665488053,3,-403.050396148,0.0186553580532
0.996993307015,60.0,74.0,76.0,70.0,88.0,75.0,0.659283663416,4,-399.739128039,0.0186553580532
0.996993307015,63.0,75.0,76.0,71.0,87.0,73.0,0.659103847083,5,-395.59722795,0.0186553580532
0.996993307015,63.0,75.0,76.0,71.0,87.0,70.0,0.659527899175,6,-396.915947493,0.0186553580532
