Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,Iteration,LL,Theta
1.0,32.0,33.0,36.0,35.0,33.0,36.0,40.0,34.0,0.0,0,0.0,0.04081632653061224
0.8529683585324267,32.0,34.0,31.0,26.0,27.0,31.0,26.0,29.0,0.6326587387944369,1,-38.88396378026375,0.033535360373981915
0.817211552698078,29.0,30.0,31.0,32.0,30.0,32.0,27.0,29.0,0.6334757677705112,2,-28.165841701570514,0.022256059783199486
0.8151523985708367,30.0,31.0,33.0,31.0,31.0,32.0,27.0,29.0,0.6317100221609112,3,-24.577110321827043,0.015190721442320438
0.825111973814687,30.0,29.0,34.0,31.0,32.0,33.0,27.0,29.0,0.629917952646408,4,-22.62983589423208,0.01136007453008166
