Alpha,Assn_0,Assn_1,BER,Iteration,LL,Theta
1.0,163.0,179.0,0.0,0,0.0,0.00888888888889
1.23083628558,27.0,44.0,0.65965031399,1,-4441.42456917,0.00587956693227
1.27662210765,75.0,23.0,0.744558547251,2,-4409.5759775,0.00664820443811
1.34355331275,89.0,27.0,0.723410530623,3,-3941.44007148,0.00681756026416
1.36853474551,92.0,32.0,0.707474221573,4,-3922.57502716,0.00698287794099
1.36853474551,94.0,32.0,0.710684818317,5,-3922.28382604,0.00698287794099
1.44142474434,94.0,46.0,0.678316063602,6,-3913.97141623,0.00716327677286
1.45208955796,95.0,43.0,0.726288286122,7,-3874.42036821,0.00719651101158
1.47103984381,98.0,45.0,0.720699014466,8,-3863.86832044,0.00723170701055
1.48303115284,99.0,45.0,0.722303843822,9,-3860.4742204,0.00725732136231
1.53488970001,99.0,54.0,0.694395327639,10,-3842.18099647,0.00723994898346
1.53602575394,100.0,48.0,0.715497271607,11,-3852.42148812,0.00725169410357
