Alpha,Assn_0,Assn_1,Assn_2,Assn_3,BER,Iteration,LL,Theta
1.0,179.0,167.0,169.0,161.0,0.0,0,0.0,0.00888888888889
1.02822981819,67.0,71.0,77.0,56.0,0.620178377342,1,-1862.16697822,0.00843449230293
1.07796887372,82.0,107.0,82.0,75.0,0.614325602221,2,-1729.16365479,0.00830952865134
1.1214191185,87.0,118.0,101.0,87.0,0.601004752469,3,-1675.59811244,0.00816297339843
1.139017148,90.0,123.0,100.0,97.0,0.602820894917,4,-1664.17850987,0.00809266095339
1.17189397515,97.0,125.0,111.0,96.0,0.601896093131,5,-1625.94645201,0.00798333951745
1.19735842008,97.0,131.0,112.0,107.0,0.596964278226,6,-1605.17423563,0.00780998084596
1.21474547464,98.0,133.0,114.0,113.0,0.59527790068,7,-1593.20981907,0.00773623863455
1.22155377418,98.0,134.0,115.0,113.0,0.596596226313,8,-1589.3262445,0.00763923341715
1.23018840078,98.0,135.0,117.0,115.0,0.594405195084,9,-1583.63384929,0.0075752732624
1.23018840078,98.0,135.0,120.0,115.0,0.593779654859,10,-1583.52704661,0.0075752732624
