Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,Iteration,LL,Theta
1.0,86.0,75.0,76.0,71.0,85.0,83.0,83.0,73.0,0.0,0,0.0,0.0188679245283
1.00009111238,70.0,85.0,89.0,65.0,83.0,101.0,81.0,61.0,0.613479087927,1,-333.732766409,0.0187409372919
1.00009111238,75.0,86.0,91.0,65.0,89.0,101.0,82.0,62.0,0.624549467401,2,-305.841386959,0.0187409372919
0.996727342844,75.0,86.0,92.0,67.0,90.0,85.0,80.0,62.0,0.626592908464,3,-294.108348989,0.0185465172395
1.00650841502,75.0,83.0,96.0,74.0,91.0,85.0,88.0,63.0,0.625945473536,4,-284.345637694,0.0181051926376
1.0113863314,75.0,83.0,96.0,74.0,92.0,84.0,90.0,62.0,0.626235932178,5,-278.948635262,0.0177137228499
1.01454253007,75.0,84.0,99.0,70.0,93.0,84.0,90.0,62.0,0.629023081877,6,-274.334754577,0.0173546443939
1.01735518577,75.0,84.0,100.0,70.0,93.0,84.0,89.0,62.0,0.629002452149,7,-272.894756055,0.0171423363723
1.01735518577,75.0,84.0,101.0,70.0,93.0,84.0,89.0,62.0,0.628896713179,8,-272.889567334,0.0171423363723
