Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,Iteration,LL,Theta
1.0,33.0,34.0,33.0,39.0,32.0,35.0,29.0,32.0,0.0,0,0.0,0.16666666666666666
1.0023073641039835,28.0,35.0,30.0,44.0,30.0,35.0,27.0,32.0,0.6366751146959923,1,-50.88568135013262,0.16272529375097244
1.0023073641039835,31.0,38.0,31.0,45.0,31.0,33.0,28.0,28.0,0.6376198162806822,2,-42.27218381675745,0.16272529375097244
1.0023073641039835,31.0,43.0,26.0,48.0,31.0,35.0,20.0,29.0,0.6470444646283262,3,-37.881458328180514,0.16272529375097244
1.0023073641039835,31.0,43.0,26.0,48.0,31.0,34.0,21.0,29.0,0.6465367615470936,4,-37.86000218442625,0.16272529375097244
1.0023073641039835,31.0,43.0,26.0,49.0,31.0,34.0,21.0,29.0,0.6464836152885902,5,-37.78891046674925,0.16272529375097244
