Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,Iteration,LL,Theta
1.0,33.0,29.0,24.0,35.0,33.0,36.0,29.0,33.0,0.0,0,0.0,0.04081632653061224
1.000021964952599,43.0,28.0,24.0,32.0,33.0,35.0,26.0,33.0,0.6363358628252103,1,-48.100516743687585,0.0398622347774765
1.000021964952599,45.0,30.0,28.0,31.0,36.0,32.0,24.0,35.0,0.6393356859049505,2,-40.122220008686625,0.0398622347774765
1.000021964952599,46.0,30.0,28.0,35.0,37.0,30.0,19.0,31.0,0.6448738497234012,3,-37.76487020734312,0.0398622347774765
1.000021964952599,42.0,30.0,30.0,35.0,36.0,30.0,26.0,33.0,0.6339665486842906,4,-36.44189447030859,0.0398622347774765
1.000021964952599,35.0,29.0,28.0,35.0,36.0,30.0,27.0,33.0,0.639208383922723,5,-36.94193197187867,0.0398622347774765
