Alpha,Assn_0,Assn_1,Assn_2,Assn_3,BER,Iteration,LL,Theta
1.0,184.0,178.0,179.0,170.0,0.0,0,0.0,0.00888888888889
1.00230673121,70.0,64.0,66.0,91.0,0.612170415391,1,-1823.85079482,0.00884952263743
1.05279915846,85.0,62.0,83.0,93.0,0.611316284264,2,-1723.4707346,0.00889044484664
1.09903287832,98.0,87.0,89.0,98.0,0.59787994818,3,-1652.4676028,0.00895941756153
1.13350512013,103.0,91.0,93.0,116.0,0.593849497388,4,-1632.06302036,0.008946522763
1.15624945143,113.0,93.0,96.0,116.0,0.594313940088,5,-1617.00941753,0.0088845753597
1.17529492858,113.0,98.0,103.0,118.0,0.590853144934,6,-1607.71876756,0.00883923272223
1.19106181572,113.0,100.0,114.0,118.0,0.589551218431,7,-1600.22702396,0.00883282742671
1.19784886517,113.0,102.0,116.0,118.0,0.587102954102,8,-1597.07618277,0.00876619538442
1.20197433225,113.0,102.0,116.0,120.0,0.588329290733,9,-1596.08049075,0.00879751609082
1.20546483832,114.0,102.0,117.0,120.0,0.587307444093,10,-1595.22807128,0.00877156445586
1.20779470847,115.0,102.0,118.0,119.0,0.589634301423,11,-1594.39529184,0.00876177032029
1.20908770791,116.0,102.0,118.0,113.0,0.590129218995,12,-1612.54053057,0.00874443662433
