Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,BER,Iteration,LL,Theta
1.0,180.0,164.0,175.0,175.0,183.0,183.0,0.0,0,0.0,0.00888888888889
0.998434567845,99.0,89.0,112.0,89.0,121.0,136.0,0.566277662963,1,-1169.29525049,0.00894676608393
0.999052432412,119.0,98.0,116.0,108.0,132.0,135.0,0.56337132206,2,-1051.22785245,0.0088156129808
0.999052432412,117.0,97.0,118.0,112.0,133.0,134.0,0.566832556674,3,-1037.3007665,0.0088156129808
0.999052432412,123.0,103.0,118.0,111.0,119.0,130.0,0.57057359902,4,-1019.95509018,0.0088156129808
0.999052432412,123.0,98.0,122.0,111.0,117.0,129.0,0.571249021446,5,-1015.4275779,0.0088156129808
0.999052432412,123.0,98.0,119.0,113.0,117.0,129.0,0.570309457539,6,-1015.1415329,0.0088156129808
0.999052432412,120.0,98.0,119.0,113.0,122.0,131.0,0.572895054149,7,-1013.72835724,0.0088156129808
0.999052432412,120.0,104.0,119.0,113.0,122.0,131.0,0.572116819433,8,-1013.73190923,0.0088156129808
