Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,BIC,Iteration,LL,Theta
1.0,33.0,41.0,23.0,33.0,29.0,30.0,38.0,33.0,0.0,1181.27439644,0,0.0,0.15625
1.00320234317,27.0,32.0,33.0,33.0,44.0,27.0,31.0,37.0,0.63933417657,1181.27439644,1,-358.520405245,0.1527940889
1.00320234317,28.0,35.0,29.0,36.0,39.0,31.0,29.0,42.0,0.631387629835,1181.27439644,2,-316.178779052,0.1527940889
1.00320234317,23.0,34.0,29.0,37.0,42.0,30.0,34.0,43.0,0.635030026357,1181.27439644,3,-299.519256352,0.1527940889
1.00320234317,18.0,34.0,21.0,37.0,41.0,31.0,36.0,43.0,0.621547627747,1181.27439644,4,-324.400953237,0.1527940889
