Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,BIC,Iteration,LL,Theta
1.0,90.0,92.0,90.0,74.0,84.0,87.0,81.0,91.0,0.0,9792.33840961,0,0.0,0.0322580645161
0.998119023146,112.0,89.0,63.0,89.0,59.0,82.0,85.0,84.0,0.624828070146,9792.33840961,1,-3573.17328106,0.0323138741779
0.998119023146,121.0,85.0,69.0,89.0,63.0,84.0,82.0,82.0,0.645371135566,9792.33840961,2,-3164.62613406,0.0323138741779
0.998119023146,119.0,86.0,70.0,89.0,66.0,82.0,84.0,78.0,0.645767923113,9792.33840961,3,-3106.53506367,0.0323138741779
0.998119023146,119.0,87.0,70.0,87.0,70.0,82.0,86.0,81.0,0.641982874002,9792.33840961,4,-3055.68841967,0.0323138741779
0.998119023146,118.0,86.0,70.0,87.0,71.0,80.0,86.0,80.0,0.643400336288,9792.33840961,5,-3037.92910727,0.0323138741779
0.998119023146,118.0,86.0,70.0,87.0,71.0,81.0,86.0,78.0,0.645338730591,9792.33840961,6,-3028.3048004,0.0323138741779
