Alpha,Assn_0,Assn_1,BER,BIC,Iteration,LL,Theta
1.0,83.0,87.0,0.0,9215.81939629,0,0.0,0.0322580645161
1.11876136392,34.0,44.0,0.673902894491,9215.81939629,1,-4140.94359704,0.0306736599728
1.15279650303,23.0,54.0,0.798824298168,9215.81939629,2,-4219.24137098,0.0305318240986
