Alpha,Assn_0,Assn_1,Assn_2,Assn_3,BER,BIC,Iteration,LL,Theta
1.0,113.0,116.0,127.0,115.0,0.0,17810.9511547,0,0.0,0.0128205128205
0.998293252027,93.0,85.0,81.0,72.0,0.711881561587,17810.9511547,1,-6617.44268404,0.0128178442804
0.998293252027,94.0,79.0,90.0,80.0,0.704285181784,17810.9511547,2,-6384.8509072,0.0128178442804
0.998293252027,94.0,80.0,87.0,81.0,0.705010700829,17810.9511547,3,-6372.00826954,0.0128178442804
0.998293252027,94.0,80.0,87.0,81.0,0.705010700829,17810.9511547,4,-6371.99704833,0.0128178442804
