Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,BIC,Iteration,LL,Theta
1.0,32.0,33.0,25.0,34.0,30.0,29.0,26.0,21.0,0.0,1107.37518684,0,0.0,0.125
1.0,29.0,28.0,26.0,24.0,24.0,30.0,21.0,27.0,0.589752470949,1107.37518684,1,-248.480691689,0.125
1.0,29.0,27.0,21.0,24.0,27.0,32.0,21.0,25.0,0.592287169972,1107.37518684,2,-216.831835745,0.125
1.0,28.0,27.0,23.0,24.0,27.0,32.0,21.0,26.0,0.592718162502,1107.37518684,3,-215.556092826,0.125
1.0,28.0,26.0,24.0,24.0,27.0,32.0,21.0,26.0,0.592799451985,1107.37518684,4,-214.802343145,0.125
