Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,BER,BIC,Iteration,LL,Theta
1.0,87.0,82.0,76.0,83.0,78.0,81.0,0.0,9237.84232227,0,0.0,0.0196078431373
0.996872990235,68.0,72.0,77.0,47.0,69.0,87.0,0.652036164935,9237.84232227,1,-2882.52875699,0.0194058189455
0.99423204345,65.0,72.0,92.0,52.0,62.0,93.0,0.658016152396,9237.84232227,2,-2644.744972,0.0188890628115
0.980120516132,65.0,74.0,93.0,51.0,68.0,76.0,0.657098526453,9237.84232227,3,-2430.7475545,0.01742408353
0.988119993384,72.0,74.0,90.0,53.0,72.0,78.0,0.65927220501,9237.84232227,4,-2368.0829202,0.0170965891412
0.988119993384,74.0,74.0,89.0,54.0,72.0,79.0,0.657500540309,9237.84232227,5,-2359.8170849,0.0170965891412
0.991831763276,75.0,74.0,89.0,54.0,72.0,77.0,0.657726642802,9237.84232227,6,-2345.69135727,0.0169184469632
1.00083677644,76.0,74.0,89.0,55.0,72.0,79.0,0.658205266233,9237.84232227,7,-2322.88338917,0.0163286629298
1.00083677644,76.0,74.0,89.0,55.0,73.0,80.0,0.659718144422,9237.84232227,8,-2321.73563006,0.0163286629298
