Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,BIC,Iteration,LL,Theta
1.0,34.0,26.0,30.0,27.0,39.0,26.0,30.0,28.0,0.0,2201.23346907,0,0.0,0.046511627907
0.999392249046,28.0,26.0,23.0,15.0,28.0,26.0,23.0,26.0,0.571967133108,2201.23346907,1,-254.772485993,0.0452437325442
0.999392249046,31.0,26.0,25.0,20.0,30.0,24.0,24.0,30.0,0.582017510553,2201.23346907,2,-231.065313036,0.0452437325442
0.999392249046,30.0,26.0,25.0,20.0,27.0,25.0,24.0,29.0,0.581868798507,2201.23346907,3,-226.76077046,0.0452437325442
0.999392249046,30.0,26.0,25.0,22.0,27.0,25.0,23.0,29.0,0.581185333421,2201.23346907,4,-225.119418869,0.0452437325442
0.999392249046,30.0,26.0,25.0,22.0,27.0,25.0,23.0,26.0,0.586359756699,2201.23346907,5,-224.23851968,0.0452437325442
0.999392249046,30.0,27.0,25.0,23.0,27.0,26.0,23.0,26.0,0.586040496651,2201.23346907,6,-223.58519152,0.0452437325442
0.999392249046,30.0,27.0,25.0,23.0,27.0,26.0,23.0,25.0,0.583615397241,2201.23346907,7,-223.501969113,0.0452437325442
