Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,BIC,Iteration,LL,Theta
1.0,79.0,89.0,82.0,79.0,83.0,77.0,91.0,84.0,0.0,10774.3578863,0,0.0,0.0196078431373
0.99766833213,76.0,84.0,64.0,91.0,59.0,73.0,101.0,77.0,0.623601943919,10774.3578863,1,-2741.06556044,0.0194385984042
0.99766833213,82.0,82.0,71.0,95.0,64.0,74.0,96.0,78.0,0.629871757026,10774.3578863,2,-2324.26490173,0.0194385984042
0.99766833213,64.0,77.0,72.0,96.0,63.0,73.0,94.0,78.0,0.637077167176,10774.3578863,3,-2331.79545683,0.0194385984042
