Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,BIC,Iteration,LL,Theta
1.0,30.0,35.0,26.0,33.0,35.0,30.0,25.0,21.0,0.0,2080.43993642,0,0.0,0.05
1.00044807231,21.0,29.0,28.0,24.0,27.0,22.0,24.0,20.0,0.575658649028,2080.43993642,1,-265.642231395,0.048208134743
1.00044807231,23.0,29.0,32.0,24.0,27.0,26.0,22.0,24.0,0.577593364928,2080.43993642,2,-233.190503237,0.048208134743
1.00044807231,22.0,30.0,32.0,22.0,29.0,25.0,23.0,24.0,0.579722010444,2080.43993642,3,-228.660792104,0.048208134743
1.00044807231,24.0,31.0,32.0,22.0,29.0,23.0,22.0,22.0,0.580505818176,2080.43993642,4,-226.607988751,0.048208134743
1.00044807231,24.0,32.0,31.0,24.0,29.0,24.0,22.0,22.0,0.578390358676,2080.43993642,5,-222.908482252,0.048208134743
1.00044807231,24.0,32.0,31.0,24.0,29.0,24.0,22.0,21.0,0.590607810449,2080.43993642,6,-226.711851614,0.048208134743
