Alpha,Assn_0,Assn_1,BER,BIC,Iteration,LL,Theta
1.0,89.0,75.0,0.0,7820.11022849,0,0.0,0.0196078431373
1.05709344423,49.0,24.0,0.970739710025,7820.11022849,1,-3508.93911056,0.0141439351925
1.09183158586,51.0,38.0,0.937572021462,7820.11022849,2,-3345.76709712,0.0144680640701
1.15596610677,51.0,59.0,0.832326538902,7820.11022849,3,-3168.90058992,0.0136152633161
1.17972105994,51.0,62.0,0.827123467537,7820.11022849,4,-3150.03179876,0.0139013805772
1.19090824595,51.0,63.0,0.827604652972,7820.11022849,5,-3144.32660388,0.0140624908477
