Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,BER,BIC,Iteration,LL,Theta
1.0,81.0,77.0,82.0,96.0,97.0,98.0,0.0,9255.40634935,0,0.0,0.03125
0.9964926721,69.0,63.0,62.0,82.0,74.0,76.0,0.640794414643,9255.40634935,1,-3622.14549009,0.031372940166
0.9964926721,68.0,58.0,68.0,93.0,72.0,84.0,0.66085068836,9255.40634935,2,-3355.76870618,0.031372940166
0.994317723532,68.0,62.0,68.0,86.0,80.0,85.0,0.669424602104,9255.40634935,3,-3208.34691917,0.0307825504333
0.994317723532,69.0,61.0,69.0,85.0,79.0,83.0,0.669681463422,9255.40634935,4,-3193.71772871,0.0307825504333
0.994317723532,69.0,62.0,69.0,84.0,78.0,83.0,0.669184269057,9255.40634935,5,-3183.44119567,0.0307825504333
0.994317723532,69.0,62.0,69.0,85.0,78.0,83.0,0.670715656806,9255.40634935,6,-3182.33190936,0.0307825504333
