Alpha,Assn_0,Assn_1,Assn_2,Assn_3,BER,Iteration,LL,Theta
1.0,182.0,179.0,181.0,172.0,0.0,0,0.0,0.0114285714286
1.03684799729,92.0,63.0,69.0,68.0,0.603332046612,1,-7510.51433659,0.0113093892159
1.08590234137,98.0,82.0,75.0,87.0,0.607612262877,2,-7109.35616792,0.0112437139927
1.13997199492,134.0,83.0,65.0,103.0,0.617418713659,3,-6735.62588866,0.0110958879439
1.17567837017,132.0,105.0,79.0,106.0,0.58956397923,4,-6561.52131147,0.0110192396367
1.20448185544,136.0,110.0,87.0,110.0,0.591592242454,5,-6500.9119339,0.0109066845367
1.21221622121,137.0,110.0,88.0,113.0,0.58890980681,6,-6486.5867886,0.0108238027432
1.22118706928,128.0,119.0,92.0,112.0,0.593280332357,7,-6495.98657847,0.010735162079
