Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,BIC,Iteration,LL,Theta
1.0,74.0,86.0,92.0,88.0,90.0,81.0,95.0,75.0,0.0,9824.49956869,0,0.0,0.03125
0.998928579942,95.0,68.0,103.0,80.0,89.0,73.0,88.0,79.0,0.624956725928,9824.49956869,1,-3533.04353447,0.0314629608886
0.998928579942,95.0,79.0,107.0,77.0,91.0,76.0,84.0,83.0,0.622619304771,9824.49956869,2,-3157.27706769,0.0314629608886
0.998928579942,93.0,84.0,108.0,77.0,82.0,83.0,84.0,88.0,0.631450530611,9824.49956869,3,-3065.3073957,0.0314629608886
0.998928579942,94.0,84.0,100.0,77.0,76.0,84.0,87.0,89.0,0.635703750062,9824.49956869,4,-2993.7482378,0.0314629608886
0.998928579942,94.0,85.0,101.0,78.0,76.0,84.0,87.0,88.0,0.636496656891,9824.49956869,5,-2985.08809726,0.0314629608886
