Alpha,Assn_0,Assn_1,Assn_2,Assn_3,BER,BIC,Iteration,LL,Theta
1.0,76.0,67.0,88.0,74.0,0.0,8219.9720694,0,0.0,0.0188679245283
1.00527124821,68.0,72.0,58.0,54.0,0.716349531229,8219.9720694,1,-2934.58300287,0.0176194583702
1.07368820979,68.0,78.0,71.0,58.0,0.730616872629,8219.9720694,2,-2642.92352078,0.0167083707669
1.10998951849,70.0,84.0,73.0,61.0,0.722979847795,8219.9720694,3,-2551.54611317,0.0165140175117
1.11773594518,73.0,84.0,73.0,63.0,0.720866786637,8219.9720694,4,-2524.61961346,0.0163033973954
1.11773594518,74.0,84.0,73.0,63.0,0.720271197326,8219.9720694,5,-2519.05495492,0.0163033973954
