Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,BIC,Iteration,LL,Theta
1.0,86.0,78.0,83.0,97.0,81.0,86.0,81.0,89.0,0.0,11185.1602834,0,0.0,0.0188679245283
0.998637835713,68.0,75.0,83.0,69.0,72.0,86.0,85.0,87.0,0.622235634888,11185.1602834,1,-2753.23083499,0.0187186163813
0.998637835713,73.0,81.0,79.0,77.0,74.0,87.0,88.0,81.0,0.623798532833,11185.1602834,2,-2475.40089109,0.0187186163813
0.998637835713,73.0,84.0,79.0,77.0,74.0,84.0,89.0,80.0,0.622666072622,11185.1602834,3,-2446.40999709,0.0187186163813
0.998637835713,73.0,85.0,80.0,78.0,74.0,83.0,91.0,80.0,0.621770417364,11185.1602834,4,-2415.17012212,0.0187186163813
0.998637835713,73.0,85.0,80.0,76.0,78.0,83.0,91.0,80.0,0.623139645536,11185.1602834,5,-2411.11771746,0.0187186163813
0.998637835713,73.0,86.0,78.0,76.0,78.0,83.0,91.0,80.0,0.623288403776,11185.1602834,6,-2410.71798215,0.0187186163813
