Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,BER,BIC,Iteration,LL,Theta
1.0,96.0,87.0,97.0,93.0,89.0,91.0,0.0,7741.83648659,0,0.0,0.0606060606061
1.01815420972,82.0,71.0,82.0,72.0,84.0,65.0,0.638608710047,7741.83648659,1,-3606.61353974,0.0498791995517
1.02396682702,77.0,69.0,64.0,71.0,89.0,68.0,0.662383438547,7741.83648659,2,-3251.92964875,0.0483827461866
1.03526663034,75.0,72.0,62.0,74.0,93.0,69.0,0.660982918854,7741.83648659,3,-3218.47862612,0.0471262462126
1.04019344477,77.0,72.0,62.0,75.0,90.0,70.0,0.659685067059,7741.83648659,4,-3188.04126791,0.0464648633262
1.04626387937,77.0,73.0,64.0,74.0,89.0,70.0,0.657926644555,7741.83648659,5,-3174.66620412,0.0460694985401
1.04913444387,78.0,74.0,63.0,75.0,89.0,71.0,0.660131633085,7741.83648659,6,-3163.3111476,0.0458530348265
1.06052289616,78.0,74.0,66.0,75.0,88.0,71.0,0.657908477248,7741.83648659,7,-3139.48232404,0.0448214822311
1.07577824113,81.0,76.0,68.0,75.0,87.0,71.0,0.655518928423,7741.83648659,8,-3121.44151461,0.043484450516
1.08425157403,83.0,76.0,69.0,76.0,89.0,71.0,0.657192543806,7741.83648659,9,-3115.13591702,0.0427103249811
1.08425157403,83.0,76.0,69.0,76.0,88.0,71.0,0.657607197278,7741.83648659,10,-3114.87788913,0.0427103249811
