Alpha,Assn_0,Assn_1,Assn_2,Assn_3,Assn_4,Assn_5,Assn_6,Assn_7,BER,BIC,Iteration,LL,Theta
1.0,34.0,38.0,30.0,32.0,36.0,34.0,30.0,36.0,0.0,2876.82437571,0,0.0,0.0408163265306
0.997814612725,43.0,33.0,25.0,24.0,30.0,35.0,29.0,28.0,0.634057620038,2876.82437571,1,-414.06328295,0.0400497372223
0.997814612725,41.0,36.0,33.0,26.0,30.0,37.0,30.0,31.0,0.627863304507,2876.82437571,2,-348.735586829,0.0400497372223
0.997814612725,41.0,32.0,32.0,33.0,32.0,28.0,30.0,30.0,0.62291707264,2876.82437571,3,-345.626081214,0.0400497372223
0.997814612725,42.0,26.0,31.0,32.0,33.0,31.0,31.0,35.0,0.628239842315,2876.82437571,4,-321.095985418,0.0400497372223
0.997814612725,42.0,26.0,31.0,32.0,31.0,30.0,31.0,35.0,0.631245707418,2876.82437571,5,-318.727796054,0.0400497372223
