Alpha,Assn_0,Assn_1,Assn_2,Assn_3,BER,BIC,Iteration,LL,Theta
1.0,79.0,82.0,78.0,78.0,0.0,8068.46095027,0,0.0,0.0196078431373
1.00466436682,75.0,57.0,51.0,69.0,0.741047452925,8068.46095027,1,-2977.62677825,0.0183808496083
1.07396794438,78.0,65.0,59.0,72.0,0.732532628867,8068.46095027,2,-2618.53003266,0.0179173658661
1.10429605603,85.0,70.0,62.0,72.0,0.725686101366,8068.46095027,3,-2539.23381171,0.0173756698021
1.13120829917,86.0,73.0,67.0,72.0,0.715386893849,8068.46095027,4,-2505.58600832,0.0173135330102
1.13120829917,87.0,75.0,68.0,72.0,0.712552175822,8068.46095027,5,-2502.77345441,0.0173135330102
